,Unnamed: 0,neuron_path,specials_path,options,compile_options,nodes,ppn,omp_num_threads,nrniv,hoc_name,stop_time,nthread,prof,modules,job_id,bench,macro,time,time0,time_avg
43,40,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,27.0,13.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32355,False,False,25.80147,24.20376,25.002615
44,96,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,27.0,16.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32173,False,True,23.46423,26.63937,25.0518
45,30,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,24.0,14.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32366,False,False,24.78259,25.32605,25.054319999999997
46,8,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,25.0,16.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32395,False,False,22.02252,28.14691,25.084715
47,91,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,27.0,1.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),31963,False,True,22.94639,27.246509999999997,25.096449999999997
48,43,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,25.0,12.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32339,False,False,26.14358,24.225179999999998,25.184379999999997
49,24,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,24.0,11.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32324,False,False,24.49381,26.0642,25.279004999999998
50,34,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,23.0,4.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32225,False,False,25.2088,25.399620000000002,25.30421
51,7,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,25.0,13.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),32353,False,False,22.013,28.65408,25.33354
52,128,../nrn-7.2,../specials,"frozenset({'--with-multisend', '--without-iv', '--with-paranrn', '--without-x', '--without-nrnoc-x11', '--enable-shared=no', '--enable-static=yes', '--with-mpi'})","frozenset({('MPICXX', 'mpic++'), ('CXX', 'mpic++'), ('CXXFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpicc'), ('use_pthread', 'no'), ('linux_nrnmech', 'no'), ('CFLAGS', '""-O3 -fopenmp -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpicc')})",1,27.0,3.0,../specials/x86_64/special -mpi,../hoc/bench_main.hoc,100.0,16.0,,frozenset(),31991,False,True,26.743479999999998,23.969839999999998,25.356659999999998
