,Unnamed: 0,neuron_path,specials_path,options,compile_options,nodes,ppn,omp_num_threads,nrniv,hoc_name,stop_time,nthread,prof,modules,job_id,bench,macro,time,time0,time1,time_avg
10,13,../nrn-7.2,../specials,"frozenset({'--build=x86_64-unknown-linux-gnu', '--enable-static=yes', '--with-multisend', '--with-paranrn', '--with-mpi', '--without-x', '--enable-shared=no', '--without-nmodl', '--without-nrnoc-x11', '--host=sparc64-unknown-linux-gnu'})","frozenset({('CFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpifccpx'), ('MPICXX', 'mpiFCCpx'), ('CXXFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpifccpx'), ('CXX', 'mpiFCCpx'), ('linux_nrnmech', 'no'), ('use_pthread', 'no')})",8,8.0,7.0,./special -mpi,./bench_main.hoc,100.0,16.0,,frozenset(),7146876,False,False,23.07306,21.70485,21.62036,22.13275666666667
11,72,../nrn-7.2,../specials,"frozenset({'--build=x86_64-unknown-linux-gnu', '--enable-static=yes', '--with-multisend', '--with-paranrn', '--with-mpi', '--without-x', '--enable-shared=no', '--without-nmodl', '--without-nrnoc-x11', '--host=sparc64-unknown-linux-gnu'})","frozenset({('CFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpifccpx'), ('MPICXX', 'mpiFCCpx'), ('CXXFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpifccpx'), ('CXX', 'mpiFCCpx'), ('linux_nrnmech', 'no'), ('use_pthread', 'no')})",8,8.0,7.0,./special -mpi,./bench_main.hoc,100.0,16.0,,frozenset(),7146694,False,True,22.702360000000002,22.66358,21.21953,22.195156666666666
12,14,../nrn-7.2,../specials,"frozenset({'--build=x86_64-unknown-linux-gnu', '--enable-static=yes', '--with-multisend', '--with-paranrn', '--with-mpi', '--without-x', '--enable-shared=no', '--without-nmodl', '--without-nrnoc-x11', '--host=sparc64-unknown-linux-gnu'})","frozenset({('CFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpifccpx'), ('MPICXX', 'mpiFCCpx'), ('CXXFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpifccpx'), ('CXX', 'mpiFCCpx'), ('linux_nrnmech', 'no'), ('use_pthread', 'no')})",8,8.0,8.0,./special -mpi,./bench_main.hoc,100.0,16.0,,frozenset(),7146893,False,False,23.08788,21.168110000000002,22.340120000000002,22.19870333333333
13,6,../nrn-7.2,../specials,"frozenset({'--build=x86_64-unknown-linux-gnu', '--enable-static=yes', '--with-multisend', '--with-paranrn', '--with-mpi', '--without-x', '--enable-shared=no', '--without-nmodl', '--without-nrnoc-x11', '--host=sparc64-unknown-linux-gnu'})","frozenset({('CFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpifccpx'), ('MPICXX', 'mpiFCCpx'), ('CXXFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpifccpx'), ('CXX', 'mpiFCCpx'), ('linux_nrnmech', 'no'), ('use_pthread', 'no')})",8,8.0,2.0,./special -mpi,./bench_main.hoc,100.0,16.0,,frozenset(),7146835,False,False,22.07627,22.32408,22.202920000000002,22.201090000000004
14,3,../nrn-7.2,../specials,"frozenset({'--build=x86_64-unknown-linux-gnu', '--enable-static=yes', '--with-multisend', '--with-paranrn', '--with-mpi', '--without-x', '--enable-shared=no', '--without-nmodl', '--without-nrnoc-x11', '--host=sparc64-unknown-linux-gnu'})","frozenset({('CFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpifccpx'), ('MPICXX', 'mpiFCCpx'), ('CXXFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpifccpx'), ('CXX', 'mpiFCCpx'), ('linux_nrnmech', 'no'), ('use_pthread', 'no')})",8,8.0,16.0,./special -mpi,./bench_main.hoc,100.0,16.0,,frozenset(),7146991,False,False,21.63735,23.11852,22.03014,22.262003333333336
15,78,../nrn-7.2,../specials,"frozenset({'--build=x86_64-unknown-linux-gnu', '--enable-static=yes', '--with-multisend', '--with-paranrn', '--with-mpi', '--without-x', '--enable-shared=no', '--without-nmodl', '--without-nrnoc-x11', '--host=sparc64-unknown-linux-gnu'})","frozenset({('CFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpifccpx'), ('MPICXX', 'mpiFCCpx'), ('CXXFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpifccpx'), ('CXX', 'mpiFCCpx'), ('linux_nrnmech', 'no'), ('use_pthread', 'no')})",8,8.0,2.0,./special -mpi,./bench_main.hoc,100.0,16.0,,frozenset(),7146653,False,True,23.09796,21.79897,22.094179999999998,22.33037
16,4,../nrn-7.2,../specials,"frozenset({'--build=x86_64-unknown-linux-gnu', '--enable-static=yes', '--with-multisend', '--with-paranrn', '--with-mpi', '--without-x', '--enable-shared=no', '--without-nmodl', '--without-nrnoc-x11', '--host=sparc64-unknown-linux-gnu'})","frozenset({('CFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpifccpx'), ('MPICXX', 'mpiFCCpx'), ('CXXFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpifccpx'), ('CXX', 'mpiFCCpx'), ('linux_nrnmech', 'no'), ('use_pthread', 'no')})",8,8.0,4.0,./special -mpi,./bench_main.hoc,100.0,16.0,,frozenset(),7146851,False,False,21.8119,22.67768,22.64025,22.37661
17,10,../nrn-7.2,../specials,"frozenset({'--build=x86_64-unknown-linux-gnu', '--enable-static=yes', '--with-multisend', '--with-paranrn', '--with-mpi', '--without-x', '--enable-shared=no', '--without-nmodl', '--without-nrnoc-x11', '--host=sparc64-unknown-linux-gnu'})","frozenset({('CFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpifccpx'), ('MPICXX', 'mpiFCCpx'), ('CXXFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpifccpx'), ('CXX', 'mpiFCCpx'), ('linux_nrnmech', 'no'), ('use_pthread', 'no')})",8,8.0,13.0,./special -mpi,./bench_main.hoc,100.0,16.0,,frozenset(),7146954,False,False,22.93398,21.49174,22.8491,22.424940000000003
18,15,../nrn-7.2,../specials,"frozenset({'--build=x86_64-unknown-linux-gnu', '--enable-static=yes', '--with-multisend', '--with-paranrn', '--with-mpi', '--without-x', '--enable-shared=no', '--without-nmodl', '--without-nrnoc-x11', '--host=sparc64-unknown-linux-gnu'})","frozenset({('CFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpifccpx'), ('MPICXX', 'mpiFCCpx'), ('CXXFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpifccpx'), ('CXX', 'mpiFCCpx'), ('linux_nrnmech', 'no'), ('use_pthread', 'no')})",8,8.0,11.0,./special -mpi,./bench_main.hoc,100.0,16.0,,frozenset(),7146934,False,False,23.13312,22.003239999999998,22.23731,22.457890000000003
19,70,../nrn-7.2,../specials,"frozenset({'--build=x86_64-unknown-linux-gnu', '--enable-static=yes', '--with-multisend', '--with-paranrn', '--with-mpi', '--without-x', '--enable-shared=no', '--without-nmodl', '--without-nrnoc-x11', '--host=sparc64-unknown-linux-gnu'})","frozenset({('CFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('MPICC', 'mpifccpx'), ('MPICXX', 'mpiFCCpx'), ('CXXFLAGS', '""-Kfast -DKPLUS -DKPLUS_GATHER_SCATTER -DKPLUS_SPAWN -DCLUSTER_USE_OMP""'), ('CC', 'mpifccpx'), ('CXX', 'mpiFCCpx'), ('linux_nrnmech', 'no'), ('use_pthread', 'no')})",8,8.0,9.0,./special -mpi,./bench_main.hoc,100.0,16.0,,frozenset(),7146714,False,True,22.439220000000002,22.76785,22.289170000000002,22.498746666666666
